frame_index,media_ms,track_id,class_id,state,x_min,y_min,x_max,y_max,confidence
347,28916.667,17,0,confirmed,737.879,32.700,768.104,84.980,0.4616
348,29000.000,15,1,confirmed,713.592,64.706,775.389,108.700,0.6247
348,29000.000,17,0,confirmed,744.106,32.975,771.773,84.729,0.3491
349,29083.333,15,1,confirmed,719.487,67.578,775.658,109.395,0.2879
349,29083.333,17,0,confirmed,750.626,33.822,778.264,85.522,0.3491
350,29166.667,15,1,confirmed,725.517,68.784,781.065,110.136,0.2879
350,29166.667,17,0,confirmed,757.146,34.669,784.756,86.315,0.3491
351,29250.000,15,1,confirmed,731.550,69.992,786.468,110.874,0.2879
351,29250.000,17,0,confirmed,763.667,35.516,791.247,87.108,0.3491
352,29333.333,15,1,confirmed,737.587,71.202,791.867,111.610,0.2879
352,29333.333,17,0,confirmed,770.187,36.363,797.738,87.901,0.3491
353,29416.667,15,1,confirmed,743.628,72.416,797.262,112.343,0.2879
353,29416.667,17,0,confirmed,776.707,37.210,804.230,88.694,0.3491
354,29500.000,15,1,confirmed,749.673,73.632,802.654,113.073,0.2879
354,29500.000,17,0,confirmed,783.227,38.057,810.721,89.487,0.3491
355,29583.333,15,1,confirmed,755.722,74.852,808.041,113.800,0.2879
355,29583.333,17,0,confirmed,789.747,38.904,817.212,90.280,0.3491
356,29666.667,15,1,confirmed,761.776,76.075,813.424,114.524,0.2879
356,29666.667,17,0,confirmed,796.268,39.751,823.704,91.073,0.3491
357,29750.000,15,1,confirmed,767.833,77.301,818.803,115.245,0.2879
357,29750.000,17,0,confirmed,802.788,40.598,830.195,91.866,0.3491
358,29833.333,15,1,confirmed,773.896,78.530,824.177,115.962,0.2879
358,29833.333,17,0,confirmed,809.308,41.445,836.686,92.659,0.3491
359,29916.667,15,1,confirmed,779.963,79.763,829.547,116.675,0.2879
359,29916.667,17,0,confirmed,815.829,42.293,843.178,93.452,0.3491
360,30000.000,15,1,confirmed,786.035,80.999,834.911,117.385,0.2879
360,30000.000,17,0,confirmed,822.349,43.140,849.669,94.244,0.3491
361,30083.333,15,1,confirmed,792.112,82.240,840.270,118.091,0.2879
484,40333.333,21,0,tentative,0.000,59.594,17.262,117.299,0.4271
485,40416.667,21,0,tentative,0.149,51.409,20.566,118.312,0.2967
486,40500.000,21,0,confirmed,1.294,40.245,28.925,120.900,0.6770
487,40583.333,21,0,confirmed,3.560,35.921,40.838,122.144,0.8027
488,40666.667,21,0,confirmed,5.745,36.462,48.825,122.146,0.8473
489,40750.000,21,0,confirmed,9.876,37.091,55.010,121.674,0.8178
490,40833.333,21,0,confirmed,13.596,36.756,56.677,119.234,0.7756
491,40916.667,21,0,confirmed,17.803,36.275,57.553,116.430,0.7909
492,41000.000,21,0,confirmed,22.996,36.873,60.042,116.408,0.8125
493,41083.333,21,0,confirmed,30.136,36.742,66.518,115.310,0.8345
494,41166.667,21,0,confirmed,36.934,36.330,75.680,114.567,0.8193
495,41250.000,21,0,confirmed,42.072,36.729,82.836,114.934,0.8377
496,41333.333,21,0,confirmed,46.259,37.134,87.272,114.643,0.8560
497,41416.667,21,0,confirmed,51.131,37.217,90.725,114.474,0.7164
498,41500.000,21,0,confirmed,54.708,36.661,91.471,113.375,0.7727
499,41583.333,21,0,confirmed,59.715,35.763,95.193,112.543,0.8042
500,41666.667,21,0,confirmed,67.709,34.984,105.243,112.178,0.8167
501,41750.000,21,0,confirmed,73.970,35.375,113.869,112.133,0.8189
502,41833.333,21,0,confirmed,77.850,34.665,120.564,111.946,0.8151
503,41916.667,21,0,confirmed,81.224,33.492,123.849,110.836,0.8138
504,42000.000,21,0,confirmed,85.741,32.225,125.054,109.024,0.7818
505,42083.333,21,0,confirmed,91.012,31.948,127.423,109.102,0.7514
506,42166.667,21,0,confirmed,97.583,30.582,133.633,108.271,0.8166
507,42250.000,21,0,confirmed,105.340,30.237,143.404,107.849,0.8287
508,42333.333,21,0,confirmed,110.480,30.577,150.157,107.994,0.8736
